MIN_MENTIONS,rule,n,pos_rate,AUC,AP
1,median,20,0.7,0.6190476190476191,0.7793959676865472
1,policy,20,0.7,0.6190476190476191,0.7793959676865472
2,median,11,0.5454545454545454,0.8333333333333334,0.8178571428571427
2,policy,11,0.5454545454545454,0.8333333333333334,0.8178571428571427
3,median,7,0.5714285714285714,0.5833333333333334,0.7333333333333333
3,policy,7,0.5714285714285714,0.5833333333333334,0.7333333333333333
4,median,5,0.6,1.0,1.0
4,policy,5,0.4,0.6666666666666667,0.5833333333333333
5,median,5,0.6,1.0,1.0
5,policy,5,0.4,0.6666666666666667,0.5833333333333333
